tipo,discriminacao,url,formato,url_norm,domain,is_pdf,expected_content_type,parser_hint,priority_bucket
Leis e Legislação,"LEI Nº 11.340, DE 7 DE AGOSTO DE 2006",http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11340.htm,html,http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11340.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI No 10.778, DE 24 DE NOVEMBRO DE 2003",https://www.planalto.gov.br/ccivil_03/LEIS/2003/L10.778.htm,html,https://www.planalto.gov.br/ccivil_03/LEIS/2003/L10.778.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.149, DE 5 DE MAIO DE 2021",http://www.planalto.gov.br/ccivil_03/_Ato2019-2022/2021/Lei/L14149.htm#art3,html,http://www.planalto.gov.br/ccivil_03/_Ato2019-2022/2021/Lei/L14149.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 12.650, DE 17 DE MAIO DE 2012.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12650.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/lei/l12650.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 12.845, DE 1º DE AGOSTO DE 2013.",https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12845.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/lei/l12845.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 13.104, DE 9 DE MARÇO DE 2015.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13104.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/lei/l13104.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 13.718, DE 24 DE SETEMBRO DE 2018.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/L13718.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/L13718.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 13.772, DE 19 DE DEZEMBRO DE 2018.",https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13772.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13772.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.245, DE 22 DE NOVEMBRO DE 2021",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14245.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14245.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
Leis e Legislação,"LEI Nº 14.132, DE 31 DE MARÇO DE 2021",https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14132.htm,html,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14132.htm,www.planalto.gov.br,False,text/html,html_lexis_planaltobr,A
